Model,Model Index,Displacement,Cylinders,Gears,Transmission,MPG,Aspiration,Lockup Torque Converter,Drive,Max Ethanol,Recommended Fuel,Intake Valves Per Cyl,Intake Valves Per Cyl2,Exhaust Valves Per Cyl,Fuel injection
M2 CS Coupe,288,3,6,6,Manual(M6),20,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
M240i Convertible,238,3,6,8,Auto(S8),25,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M240i Convertible,239,3,6,6,Manual(M6),22,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M240i Coupe,235,3,6,8,Auto(S8),25,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M240i Coupe,236,3,6,6,Manual(M6),22,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M240i Coupe M Performance,232,3,6,8,Auto(S8),25,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M240i Coupe M Performance,233,3,6,6,Manual(M6),22,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M240i xDrive Convertible,240,3,6,8,Auto(S8),25,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M240i xDrive Coupe,237,3,6,8,Auto(S8),25,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M240i xDrive Coupe M Performance,234,3,6,8,Auto(S8),25,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M4 Convertible,483,3,6,7,Auto(AM-S7),19,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M4 Convertible,482,3,6,6,Manual(M6),20,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
M4 Convertible Competition,493,3,6,7,Auto(AM-S7),19,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M4 Convertible Competition,492,3,6,6,Manual(M6),20,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
M8 Competition Convertible,863,4.4,8,8,Auto(S8),17,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M8 Competition Coupe,861,4.4,8,8,Auto(S8),17,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M8 Convertible,862,4.4,8,8,Auto(S8),17,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M8 Coupe,860,4.4,8,8,Auto(S8),17,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M850i xDrive Convertible,852,4.4,8,8,Auto(S8),20,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M850i xDrive Coupe,850,4.4,8,8,Auto(S8),20,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CAMARO,99,2,4,8,Auto(S8),25,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
CAMARO,98,2,4,6,Manual(M6),23,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
CAMARO,73,3.6,6,10,Auto(S10),22,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CAMARO,100,3.6,6,6,Manual(M6),20,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CAMARO,108,6.2,8,10,Auto(S10),20,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,1,Spark Ignition Direct Injection
CAMARO,67,6.2,8,10,Auto(S10),16,Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,1,Spark Ignition Direct Injection
CAMARO,55,6.2,8,6,Manual(M6),19,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,1,Spark Ignition Direct Injection
CAMARO,97,6.2,8,6,Manual(M6),16,Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,1,Spark Ignition Direct Injection
SPARK,31,1.4,4,1,Auto(AV),33,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
SPARK,33,1.4,4,5,Manual(M5),33,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
SPARK ACTIV,54,1.4,4,1,Auto(AV),33,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
SPARK ACTIV,34,1.4,4,5,Manual(M5),32,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
MUSTANG,56,2.3,4,10,Auto(S10),25,Turbocharged,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
