Name,Club,Age,League,Height,Body Type,Market Value (EUR),FIFA Strength Score,Game effort
Bruno,Villarreal CF,33,Spanish Primera Division,184,Normal,18500000,84,Medium
Willian,Chelsea,28,English Premier League,175,Lean,31500000,84,High
R. Fährmann,FC Schalke 04,28,German Bundesliga,196,Normal,25000000,84,Medium
Sergio Asenjo,Villarreal CF,28,Spanish Primera Division,189,Stocky,25000000,84,Medium
Juan Mata,Manchester United,29,English Premier League,170,Lean,30500000,84,Medium
L. Koscielny,Arsenal,31,English Premier League,186,Lean,21000000,84,Medium
G. Cahill,Chelsea,31,English Premier League,193,Normal,21000000,84,Medium
Aduriz,Athletic Club de Bilbao,36,Spanish Primera Division,182,Normal,11000000,84,High
O. Dembélé,FC Barcelona,20,Spanish Primera Division,178,Lean,40000000,83,High
N. Keïta,RB Leipzig,22,German Bundesliga,172,Normal,34000000,83,High
J. Giménez,Atlético Madrid,22,Spanish Primera Division,185,Normal,28500000,83,Medium
G. Rulli,Real Sociedad,25,Spanish Primera Division,189,Normal,25500000,83,Medium
N. Süle,FC Bayern Munich,21,German Bundesliga,195,Stocky,30500000,83,Medium
Ederson,Manchester City,23,English Premier League,188,Normal,26000000,83,Medium
L. Goretzka,FC Schalke 04,22,German Bundesliga,189,Lean,34000000,83,High
M. Salah,Liverpool,25,English Premier League,175,Normal,32500000,83,High
E. Forsberg,RB Leipzig,25,German Bundesliga,179,Normal,31500000,83,High
S. Umtiti,FC Barcelona,23,Spanish Primera Division,182,Normal,29500000,83,Medium
R. Mahrez,Leicester City,26,English Premier League,179,Lean,30500000,83,Medium
V. van Dijk,Southampton,25,English Premier League,193,Normal,27500000,83,High
Roberto Firmino,Liverpool,25,English Premier League,181,Lean,33000000,83,High
Vitolo,UD Las Palmas,27,Spanish Primera Division,184,Normal,27000000,83,High
J. Matip,Liverpool,25,English Premier League,195,Lean,26500000,83,Medium
I. Gueye,Everton,27,English Premier League,174,Lean,24500000,83,Medium
Iago Aspas,RC Celta de Vigo,29,Spanish Primera Division,176,Lean,26000000,83,High
N. Otamendi,Manchester City,29,English Premier League,183,Normal,20000000,83,High
Parejo,Valencia CF,28,Spanish Primera Division,182,Lean,25500000,83,Medium
S. Kagawa,Borussia Dortmund,28,German Bundesliga,175,Lean,26000000,83,Medium
K. Walker,Manchester City,27,English Premier League,183,Normal,24000000,83,High
S. N'Zonzi,Sevilla FC,28,Spanish Primera Division,190,Lean,21000000,83,Medium
O. Toprak,Borussia Dortmund,27,German Bundesliga,186,Normal,24500000,83,Medium
N. Gaitán,Atlético Madrid,29,Spanish Primera Division,173,Lean,25500000,83,Medium
A. Lallana,Liverpool,29,English Premier League,172,Lean,25000000,83,High
E. Banega,Sevilla FC,29,Spanish Primera Division,174,Normal,25500000,83,Medium
Y. Sommer,Borussia Mönchengladbach,28,German Bundesliga,183,Normal,21000000,83,Medium
M. Schneiderlin,Everton,27,English Premier League,185,Normal,24500000,83,Medium
L. Piszczek,Borussia Dortmund,32,German Bundesliga,184,Normal,14500000,83,Medium
E. Garay,Valencia CF,30,Spanish Primera Division,189,Normal,19000000,83,Medium
A. Valencia,Manchester United,31,English Premier League,180,Stocky,17000000,83,High
K. Schmeichel,Leicester City,30,English Premier League,189,Normal,19000000,83,Medium
M. Dembélé,Tottenham Hotspur,29,English Premier League,185,Normal,25000000,83,Medium
Diego López,RCD Espanyol,35,Spanish Primera Division,196,Lean,6000000,83,Medium
Santi Cazorla,Arsenal,32,English Premier League,168,Stocky,19500000,83,High
J. Mascherano,FC Barcelona,33,Spanish Primera Division,174,Normal,10500000,83,Medium
Y. Touré,Manchester City,34,English Premier League,189,Lean,12500000,83,Medium
L. Sané,Manchester City,21,English Premier League,183,Lean,34500000,82,High
T. Bakayoko,Chelsea,22,English Premier League,189,Lean,26000000,82,Medium
C. Tolisso,FC Bayern Munich,22,German Bundesliga,181,Normal,30500000,82,High
J. Tah,Bayer 04 Leverkusen,21,German Bundesliga,192,Stocky,26000000,82,Medium
T. Werner,RB Leipzig,21,German Bundesliga,180,Normal,30500000,82,High
André Gomes,FC Barcelona,23,Spanish Primera Division,188,Lean,30000000,82,Medium
A. Martial,Manchester United,21,English Premier League,181,Normal,33000000,82,Medium
Lucas Vázquez,Real Madrid CF,26,Spanish Primera Division,173,Normal,26000000,82,High
Saúl,Atlético Madrid,22,Spanish Primera Division,181,Lean,32000000,82,Medium
C. Bacca,Villarreal CF,30,Spanish Primera Division,181,Lean,21500000,82,Medium
F. Vázquez,Sevilla FC,28,Spanish Primera Division,186,Normal,22500000,82,Medium
M. Kovacic,Real Madrid CF,23,Spanish Primera Division,178,Normal,30000000,82,High
Sergio Rico,Sevilla FC,23,Spanish Primera Division,194,Lean,21500000,82,Medium
Manu Trigueros,Villarreal CF,25,Spanish Primera Division,178,Lean,27500000,82,Medium
A. Rüdiger,Chelsea,24,English Premier League,190,Normal,24500000,82,Medium
S. Savic,Atlético Madrid,26,Spanish Primera Division,187,Lean,24000000,82,Medium
Iñigo Martínez,Real Sociedad,26,Spanish Primera Division,182,Normal,24000000,82,Medium
Roque Mesa,Swansea City,28,English Premier League,171,Stocky,18000000,82,High
D. Klaassen,Everton,24,English Premier League,179,Normal,27500000,82,High
K. Bellarabi,Bayer 04 Leverkusen,27,German Bundesliga,183,Lean,23000000,82,High
R. Sterling,Manchester City,22,English Premier League,170,Lean,29500000,82,High
Deulofeu,FC Barcelona,23,Spanish Primera Division,177,Normal,31000000,82,High
E. Dier,Tottenham Hotspur,23,English Premier League,188,Normal,25000000,82,Medium
M. Rojo,Manchester United,27,English Premier League,187,Normal,21000000,82,Medium
H. Son,Tottenham Hotspur,24,English Premier League,183,Lean,28000000,82,High
G. Xhaka,Arsenal,24,English Premier League,185,Normal,27500000,82,Medium
Jonathan Viera,UD Las Palmas,27,Spanish Primera Division,170,Lean,23000000,82,High
Willian José,Real Sociedad,25,Spanish Primera Division,189,Normal,29000000,82,Medium
A. Yarmolenko,Borussia Dortmund,27,German Bundesliga,190,Lean,23000000,82,High
O. Baumann,TSG 1899 Hoffenheim,27,German Bundesliga,187,Normal,18000000,82,Medium
Víctor Ruíz,Villarreal CF,28,Spanish Primera Division,185,Normal,20000000,82,Medium
X. Shaqiri,Stoke City,25,English Premier League,169,Stocky,26500000,82,High
N. Clyne,Liverpool,26,English Premier League,175,Normal,22000000,82,High
